project,t1,t2,ratio
krams915_spring-batch-tutorial,JPA,JDBC,0.0
ecerulm_en4j,JPA,JDBC,0.0
OpenConext_OpenConext-teams,JPA,JDBC,0.0
CleverCloud_Bianca,JPA,JDBC,0.3125
worktokenteam_worktoken,JPA,JDBC,0.0
hibernate_hibernate-search,JPA,JDBC,0.0
saury07_Vaadin,JPA,JDBC,0.0
arquillian_arquillian_deprecated,JPA,JDBC,0.0
apache_camel,JPA,JDBC,0.0
avshabanov_java-maven-tests,JPA,JDBC,0.0
forge_plugin-hibernate-tools,JPA,JDBC,1.0
tulskiy_musique,JPA,JDBC,0.2
ringerc_scrapcode,JPA,JDBC,0.0
mariuszs_openxava,JPA,JDBC,0.0
hector-client_hector,JPA,JDBC,0.0
springtestdbunit_spring-test-dbunit,JPA,JDBC,0.0
daoway_AtomikosDistributedScalability,JPA,JDBC,0.0
nasa_mct,JPA,JDBC,0.0
krasserm_ipf,JPA,JDBC,0.16666667
wijiti_dspace-rest-api,JPA,JDBC,0.94736844
jasondlee_FrenchPress,JPA,JDBC,0.0
jsanchezramos_k-pax,JPA,JDBC,0.14285715
ignite_spring-reference,JPA,JDBC,0.0
patrikfr_dddsample,JPA,JDBC,0.0
SpringSource_spring-framework-issues,JPA,JDBC,0.0
rongjihuang_bc-framework,JPA,JDBC,0.0
fusesource_fuse,JPA,JDBC,0.0
riftsaw_riftsaw-ode,JPA,JDBC,0.04761905
obergner_camelpe,JPA,JDBC,0.0
SonarSource_sonar,JPA,JDBC,0.03448276
NUBIC_psc-mirror,JPA,JDBC,0.0
tomp2p_TomP2P,JPA,JDBC,0.0
ISA-tools_BioInvIndex,JPA,JDBC,0.018867925
exanpe_ultimate-breakfast,JPA,JDBC,0.0
mattakaslash_Homeschool-Tracker,JPA,JDBC,0.0
tony1223_zkfiddle,JPA,JDBC,0.0
fqntxmqee_webframe,JPA,JDBC,0.0
SpringSource_spring-data-jpa,JPA,JDBC,0.0
akquinet_GuttenBase,JPA,JDBC,0.5
OpenMEAP_OpenMEAP,JPA,JDBC,0.0
apache_nutch,JPA,JDBC,0.0
forcedotcom_java-sdk,JPA,JDBC,0.0
rkorytkowski_openmrs-contrib-metadatarepository,JPA,JDBC,0.0
theebe_mgrProject,JPA,JDBC,0.16666667
arrayexpress_annotare2,JPA,JDBC,0.0
apache_tapestry5,JPA,JDBC,0.0
FrontlineSMS-Credit_plugin-paymentview,JPA,JDBC,0.0
BroadleafCommerce_BroadleafCommerce,JPA,JDBC,0.060606062
smooks_smooks,JPA,JDBC,0.0
aaronanderson_ODE-X,JPA,JDBC,0.6
krimple_spring-roo-in-action-examples,JPA,JDBC,0.0
openfaces_OpenFaces,JPA,JDBC,0.0
trifork_sdm,JPA,JDBC,0.051282052
camsys_onebusaway-nyc,JPA,JDBC,0.0
SpringSource_spring-webflow,JPA,JDBC,0.0
astina_Hesperid,JPA,JDBC,0.0
praveen12bnitt_DormMgmt,JPA,JDBC,0.14285715
jabox_jabox,JPA,JDBC,0.0
GeniusWiki_GeniusWiki,JPA,JDBC,0.0
ebean-orm-demo_demo-order,JPA,JDBC,0.5
Spliffy_spliffy,JPA,JDBC,0.0
seam_faces,JPA,JDBC,0.0
caelum_guj.com.br,JPA,JDBC,0.0
zibhub_GNDMS,JPA,JDBC,0.0
aufdemrand_Denizen,JPA,JDBC,0.0
snowdrop_snowdrop-examples,JPA,JDBC,0.125
possi_LimitedCreative,JPA,JDBC,0.0
snowdrop_quickstarts,JPA,JDBC,0.0
mysema_querydsl,JPA,JDBC,0.0
ctpconsulting_query,JPA,JDBC,0.07692308
jamesward_plays3upload,JPA,JDBC,0.0
CleverCloud_Quercus,JPA,JDBC,0.3125
Emergya_GoFleetLSServer,JPA,JDBC,0.0
ValorVl_jDcHub,JPA,JDBC,0.0
fracturedatlas_ATHENA,JPA,JDBC,0.0
grandwazir_Alias,JPA,JDBC,0.0
apache_myfaces-extcdi,JPA,JDBC,0.0
AlistairIsrael_junit-rules,JPA,JDBC,0.0
marcinderylo_surveys,JPA,JDBC,0.0
ocpsoft_rewrite,JPA,JDBC,0.0
hibernate_hibernate-metamodelgen,JPA,JDBC,0.035714287
Jahia_modules-set,JPA,JDBC,0.0
OpenConext_OpenConext-shared,JPA,JDBC,0.0
simbo1905_ZkToDo2,JPA,JDBC,0.0
openengsb_openengsb-framework,JPA,JDBC,0.0
henryyan_kft-activiti-demo,JPA,JDBC,0.0
hudec_sql-processor,JPA,JDBC,0.0
jbossejb3_jboss-ejb3-tutorial,JPA,JDBC,0.5
david-schuler_javalanche,JPA,JDBC,0.0
Wolfy9247_AntiPub,JPA,JDBC,0.0
liquibase_liquibase-hibernate,JPA,JDBC,0.0
drapanjanas_vilnius-jug,JPA,JDBC,0.0
headsupdev_agile,JPA,JDBC,0.0
AxonFramework_AxonFramework,JPA,JDBC,0.0
devproof_portal,JPA,JDBC,0.0
lastfm_musicbrainz-data,JPA,JDBC,0.0
caelum_calopsita,JPA,JDBC,0.0
resteasy_Resteasy,JPA,JDBC,0.0
adcalves_OSGiinDepth,JPA,JDBC,0.0
karussell_Jetwick,JPA,JDBC,0.0
angryziber_simple-java,JPA,JDBC,0.0
apache_rave,JPA,JDBC,0.0
opaeum_opaeum,JPA,JDBC,0.5
nmcb_streetlights,JPA,JDBC,0.0
pritom-therap_GamersChoice,JPA,JDBC,0.125
joedayz_faces,JPA,JDBC,0.0
kimchy_compass,JPA,JDBC,0.0
ralscha_archetypes,JPA,JDBC,0.0
edgaragr_Prestamos,JPA,JDBC,0.0
Gigaspaces_bestpractices,JPA,JDBC,0.0
joedayz_java-samples,JPA,JDBC,0.0
bylee_poetry,JPA,JDBC,0.0
BottegaIT_ddd-cqrs-sample,JPA,JDBC,0.13333334
hedtek_dspace-rest,JPA,JDBC,0.94736844
slavikos_minoas,JPA,JDBC,0.0
mariusbreivik_foodelicious,JPA,JDBC,0.5
SpringSource_spring-integration-samples,JPA,JDBC,0.0
conder_assignment,JPA,JDBC,0.0
cloudbees_CloudBees-End-End-Tutorial,JPA,JDBC,0.0
mongodb_mongo-java-driver,JPA,JDBC,0.01923077
nan21_nan21.dnet.modules,JPA,JDBC,0.0
picon-software_eoit,JPA,JDBC,0.0
SpringSource_spring-data-book,JPA,JDBC,0.0
ModeShape_modeshape,JPA,JDBC,0.0
tryggvil_eucalyptus,JPA,JDBC,0.0
frankbille_ScoreBoard,JPA,JDBC,0.0
grandwazir_DimensionDoor,JPA,JDBC,0.0
salescube_SalesCube,JPA,JDBC,0.7741935
agoncal_agoncal-book-javaee7,JPA,JDBC,0.0
rponte_jsf-loja-project,JPA,JDBC,0.0
apache_tapestry-5,JPA,JDBC,0.0
delving_delving,JPA,JDBC,0.0
Y3PP3R_AP2DX,JPA,JDBC,0.0
jersey_jersey,JPA,JDBC,0.0
onesocialweb_osw-openfire-plugin,JPA,JDBC,0.0
caelum_caelum-stella,JPA,JDBC,0.0
janm399_specs2-spring,JPA,JDBC,0.0
FAP-Team_Fap-Module,JPA,JDBC,0.0
WISE-Community_WISE-Portal,JPA,JDBC,0.0
TGAC_miso-lims,JPA,JDBC,0.0
demoiselle_laboratory,JPA,JDBC,0.0
sfilatov_secretary,JPA,JDBC,0.1
keesun_swagger-noxml-mvc,JPA,JDBC,0.0
untoldwind_soatools,JPA,JDBC,0.15
cheneyjuu_companys,JPA,JDBC,0.0
diogojpina_ListaExercicio,JPA,JDBC,0.0
vmware-serengeti_serengeti-ws,JPA,JDBC,0.0
gordonad_BatchCloudFoundry,JPA,JDBC,0.0
esfand_ddd-cqrs-sample,JPA,JDBC,0.0625
platformlayer_platformlayer,JPA,JDBC,0.0
xebia_xke-ng,JPA,JDBC,0.0
samolisov_samolisov-demo,JPA,JDBC,0.0
tharindum_opennms_dashboard,JPA,JDBC,0.0
biemond_jdev11gR2_examples,JPA,JDBC,0.25
OpenAttestation_OpenAttestation,JPA,JDBC,0.0
mydlp_mydlp-ui,JPA,JDBC,0.0
SomMeri_Standalone-JPA-Test-Demo,JPA,JDBC,0.0
Emergya_gofleet,JPA,JDBC,0.0
jbosstm_narayana,JPA,JDBC,0.0
chkal_wjax11-demo,JPA,JDBC,0.0
nofarb_Conf4you,JPA,JDBC,0.14285715
biemond_jdev11g_examples,JPA,JDBC,0.5
shagstrom_spring-mvc-hibernate-skeleton,JPA,JDBC,0.0
znicholas_obase,JPA,JDBC,0.0
capedwarf_capedwarf-blue,JPA,JDBC,0.0
ecosur-sistemas-complejos_MultiGame-Engine,JPA,JDBC,0.0
lyubo_play-ebean,JPA,JDBC,0.0
holisticon_ticket2rock,JPA,JDBC,0.0
qa_auction,JPA,JDBC,0.25
TexasDigitalLibrary_Vireo,JPA,JDBC,0.0
demoiselle_framework,JPA,JDBC,0.0
robinjam_Ports,JPA,JDBC,0.0
SpringSource_spring-data-rest,JPA,JDBC,0.0
mcgivrer_myplayapp,JPA,JDBC,0.0
ebayopensource_turmeric-monitoring,JPA,JDBC,0.0
UQ-CMM-Mirage_CMM-data-grabber,JPA,JDBC,0.0
ancoron_pg-inet-maven,JPA,JDBC,0.2857143
asascience-open_ncWMS,JPA,JDBC,0.0
brix-cms_brix-cms,JPA,JDBC,0.0
rcarvalhoxavier_Timesheet,JPA,JDBC,0.0
jaysensharma_MiddlewareMagicDemos,JPA,JDBC,0.0
mosabsalih_jBilling,JPA,JDBC,0.0
excilys_excilys-bank,JPA,JDBC,0.0
